episode,global_step,episode_reward,episode_steps,num_evacuated
0,300,-579.008826,300,0
1,600,-627.139105,300,0
2,900,-486.978057,300,0
3,1200,-524.155685,300,0
4,1500,-484.32472,300,0
5,1800,-492.635646,300,0
6,2100,-483.293908,300,0
7,2400,-503.22926,300,0
8,2700,-361.483051,300,0
9,3000,-469.924735,300,0
10,3300,-534.290529,300,0
11,3600,-418.935766,300,0
12,3900,-379.979808,300,0
13,4200,-416.933696,300,0
14,4500,-426.295572,300,0
15,4800,-376.908449,300,0
16,5100,-435.408492,300,0
17,5400,-343.620315,300,0
18,5700,-323.623846,300,0
19,6000,-390.397279,300,0
20,6300,-450.022025,300,0
21,6600,-384.943998,300,0
22,6900,-377.333022,300,0
23,7200,-359.315702,300,0
24,7500,-406.968892,300,0
25,7800,-355.357443,300,0
26,8100,-317.937274,300,0
27,8400,-367.699662,300,0
28,8700,-484.422486,300,0
29,9000,-366.063579,300,0
30,9300,-491.373238,300,0
31,9600,-308.995862,300,0
32,9900,-378.860329,300,0
33,10200,-396.440882,300,0
34,10500,-354.618218,300,0
35,10800,-355.831085,300,0
36,11100,-267.739509,300,0
37,11400,-318.372733,300,0
38,11700,-271.544034,300,0
39,12000,-378.932232,300,0
40,12300,-306.540018,300,0
41,12600,-321.184373,300,0
42,12900,-303.801137,300,0
43,13200,-257.125545,300,0
44,13500,-373.252912,300,0
45,13800,-405.919923,300,0
46,14100,-294.766178,300,0
47,14400,-319.755377,300,0
48,14700,-252.404613,300,0
49,15000,-291.951146,300,0
50,15300,-384.811634,300,0
51,15600,-244.487923,300,0
52,15900,-286.618925,300,0
53,16200,-307.01971,300,0
54,16500,-406.088136,300,0
55,16800,-285.66842,300,0
56,17100,-320.893864,300,0
57,17400,-285.825662,300,0
58,17700,-329.67575,300,0
59,18000,-297.649816,300,0
60,18300,-288.236383,300,0
61,18600,-243.756017,300,0
62,18900,-292.544848,300,0
63,19200,-289.136264,300,0
64,19500,-297.850635,300,0
65,19800,-323.556241,300,0
66,20100,-276.406904,300,0
67,20400,-500.841144,300,0
68,20700,-271.13755,300,0
69,21000,-239.868679,300,0
70,21300,-235.757138,300,0
71,21600,-229.733756,300,0
72,21900,-271.898789,300,0
73,22200,-289.9281,300,0
74,22500,-238.078951,300,0
75,22800,-265.564313,300,0
76,23100,-216.12705,300,0
77,23400,-339.819779,300,0
78,23700,-301.390169,300,0
79,24000,-233.581462,300,0
80,24300,-262.006883,300,0
81,24600,-263.040835,300,0
82,24900,-284.946351,300,0
83,25200,-386.944531,300,0
84,25500,-315.778223,300,0
85,25800,-300.506892,300,1
86,26100,-218.504898,300,1
87,26400,-305.591175,300,0
88,26700,-268.355958,300,1
89,27000,-235.067085,300,0
90,27300,-244.317181,300,0
91,27600,-317.714892,300,0
92,27900,-232.194062,300,1
93,28200,-245.455213,300,0
94,28500,-248.484796,300,0
95,28800,-317.65675,300,0
96,29100,-258.318923,300,0
97,29400,-309.045513,300,0
98,29700,-239.503492,300,0
99,30000,-280.271558,300,1
100,30300,-236.988131,300,0
101,30600,-211.336905,300,1
102,30900,-264.641067,300,0
103,31200,-251.060329,300,0
104,31500,-279.762541,300,1
105,31800,-328.290157,300,1
106,32100,-248.127004,300,0
107,32400,-252.777226,300,0
108,32700,-210.797111,300,0
109,33000,-231.569249,300,0
110,33300,-257.662435,300,1
111,33600,-213.433203,300,1
112,33900,-217.657568,300,1
113,34200,-153.778211,300,2
114,34500,-248.321693,300,0
115,34800,-255.339292,300,0
116,35100,-228.857558,300,2
117,35400,-225.82698,300,3
118,35700,-153.431291,300,2
119,36000,-254.635699,300,2
120,36300,-274.559728,300,1
121,36600,-198.783843,300,2
122,36900,-249.638994,300,0
123,37200,-165.227764,300,3
124,37500,-166.831582,300,2
125,37800,-254.59748,300,1
126,38100,-223.708439,300,2
127,38400,-167.519036,300,3
128,38700,-197.243611,300,2
129,39000,-143.204943,300,3
130,39300,-178.702945,300,2
131,39600,-100.020737,300,4
132,39900,-188.862301,300,3
133,40200,-99.597949,300,4
134,40500,-200.076153,300,3
135,40800,-99.68042,300,5
136,41100,-193.53027,300,3
137,41400,-114.414924,300,5
138,41700,-93.200121,300,5
139,42000,-168.858957,300,3
140,42300,-97.649407,300,6
141,42600,-126.011105,300,5
142,42900,-46.510051,300,7
143,43200,-211.020466,300,2
144,43500,-709.24856,300,3
145,43800,-77.767999,300,6
146,44100,-125.074842,300,6
147,44400,-81.011988,300,6
148,44700,-118.548309,300,6
149,45000,-86.595173,300,5
150,45300,-394.90952,300,3
151,45600,-147.881084,300,6
152,45900,-87.361879,300,6
153,46200,-109.935873,300,4
154,46500,-110.152653,300,6
155,46800,-68.780109,300,6
156,47100,-69.132816,300,6
157,47400,-62.627342,300,6
158,47700,-58.444656,300,6
159,48000,-41.155745,300,7
160,48300,-49.382232,300,7
161,48600,-84.638473,300,5
162,48900,-83.879136,300,6
